id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,VCTM5,gmo16zyljzv6ou9z,P1,3988386972,1,1,1,1
2,VCTM5,eeonrq8rjzv6ou9z,P1,3544402363,2,2,1,1
3,VCTM5,8yd033rvjzv6ou9z,P1,6346546297,6,6,1,1
4,VCTM5,aziwtjt4jzv6ou9z,P1,3197686757,12,13,1,1
5,VCTM5,2dnyzk9sjzv6ou9z,P1,9827094179,8,16,1,1
6,VCTM5,zizl1kf1jzv6ou9z,P1,4630110075,10,18,1,1
7,VCTM5,fyhbung6jzv6ou9z,P1,5653889337,21,21,1,1
8,VCTM5,b58ske0yjzv6ou9z,P1,8519255924,22,22,1,1
9,VCTM5,sadzq67rjzv6ou9z,P1,5873698857,10,24,1,1
10,VCTM5,x98fafp7jzv6ou9z,P1,7199699577,10,25,1,1
11,VCTM5,r6v3oa6qjzv6ou9z,P1,6418046186,26,26,1,1
12,VCTM5,631dukhnjzv6ou9z,P1,1108876965,27,27,1,1
13,VCTM5,5zp6iaoejzv6ou9z,P1,9552935887,14,14,1,2
14,VCTM5,q7ulh9jnjzv6ou9z,P1,5451087579,14,14,1,2
15,VCTM5,cklb3b5yjzv6ou9z,P1,7353253846,8,15,1,2
16,VCTM5,dablsy7cjzv6ou9z,P1,5339660502,11,15,1,2
17,VCTM5,t208rlqujzv6ou9z,P1,8770838178,7,20,1,2
18,VCTM5,12od04p9jzv6ou9z,P1,3976234750,8,20,1,2
19,VCTM5,hzi5kja0jzv6ou9z,P1,3858788050,9,28,1,2
20,VCTM5,zn1qavgfjzv6ou9z,P1,8005340493,26,28,1,2
21,VCTM5,qz6heblbjzv6ou9z,P1,4857792889,12,12,1,3
22,VCTM5,hz3bhv97jzv6ou9z,P1,6892546454,10,12,1,3
23,VCTM5,hfepem2ujzv6ou9z,P1,3381560601,12,12,1,3
24,VCTM5,dihomyq0jzv6ou9z,P1,2673650523,7,7,1,4
25,VCTM5,xgxqy3m4jzv6ou9z,P1,5151657274,7,7,1,4
26,VCTM5,u08d01mnjzv6ou9z,P1,7354804682,7,7,1,4
27,VCTM5,53yca6vgjzv6ou9z,P1,7946397007,7,7,1,4
28,VCTM5,vhtmarxmjzv6ou9z,P1,6696707449,9,9,1,5
29,VCTM5,4fwtyhbijzv6ou9z,P1,4193453638,9,9,1,5
30,VCTM5,s2ltggq4jzv6ou9z,P1,4782109855,9,9,1,5
31,VCTM5,l9px1y2rjzv6ou9z,P1,7013104509,9,9,1,5
32,VCTM5,jv210kl2jzv6ou9z,P1,7471887354,9,9,1,5
33,VCTM5,4q1fah46jzv6ou9z,P1,4157132235,11,11,1,5
34,VCTM5,e6lp5eaxjzv6ou9z,P1,9216377667,11,11,1,5
35,VCTM5,zy1xjrvwjzv6ou9z,P1,4473165659,11,11,1,5
36,VCTM5,akmtgqkljzv6ou9z,P1,8427998212,11,11,1,5
37,VCTM5,q23drzgmjzv6ou9z,P1,4240800710,11,11,1,5
38,VCTM5,aeaxvmzojzv6ou9z,P1,4314239466,10,10,1,11
39,VCTM5,u8kme7dsjzv6ou9z,P1,1243027609,21,10,1,11
40,VCTM5,0q2z982zjzv6ou9z,P1,9345446309,10,10,1,11
41,VCTM5,p61y7c12jzv6ou9z,P1,3860850390,10,10,1,11
42,VCTM5,f0x45kpmjzv6ou9z,P1,3944356812,10,10,1,11
43,VCTM5,846ei5k5jzv6ou9z,P1,9742143058,10,10,1,11
44,VCTM5,qsbasd9ajzv6ou9z,P1,7093242708,10,10,1,11
45,VCTM5,b69j6k15jzv6ou9z,P1,2189621527,10,10,1,11
46,VCTM5,gywxamv5jzv6ou9z,P1,3208106961,10,10,1,11
47,VCTM5,iq7fjhp6jzv6ou9z,P1,3216338204,10,10,1,11
48,VCTM5,ucpjtq98jzv6ou9z,P1,9757974224,10,10,1,11
49,VCTM5,q8qozf8djzv6ou9z,P1,5539516597,8,8,1,13
50,VCTM5,9071jjjujzv6ou9z,P1,6857460167,8,8,1,13
51,VCTM5,8yb3qca4jzv6ou9z,P1,8312786506,8,8,1,13
52,VCTM5,7l6723fnjzv6ou9z,P1,3810395041,8,8,1,13
53,VCTM5,3yld3o4ojzv6ou9z,P1,5631239304,8,8,1,13
54,VCTM5,yq27yq1yjzv6ou9z,P1,7080211559,8,8,1,13
55,VCTM5,r2usvj29jzv6ou9z,P1,2455872846,8,8,1,13
56,VCTM5,pce6jgdbjzv6ou9z,P1,5885426676,8,8,1,13
57,VCTM5,g07aoyzajzv6ou9z,P1,9750850173,8,8,1,13
58,VCTM5,t0l1w04sjzv6ou9z,P1,4445149213,8,8,1,13
59,VCTM5,2gq6uoxhjzv6ou9z,P1,1005243656,8,8,1,13
60,VCTM5,y3jsu78yjzv6ou9z,P1,5241179052,8,8,1,13
61,VCTM5,1vdu0n3ljzv6ou9z,P1,5804000228,8,8,1,13
62,VCTM5,56cu6zmujzv6ou9z,P1,7058786009,14,30,1,16
63,VCTM5,kr6zcvo9jzv6ou9z,P1,2683313506,12,30,1,16
64,VCTM5,x3xgq9l4jzv6ou9z,P1,9980426949,14,30,1,16
65,VCTM5,fy4tff8ljzv6ou9z,P1,9571267520,17,30,1,16
66,VCTM5,btqogkinjzv6ou9z,P1,5076996594,11,30,1,16
67,VCTM5,7yid5tl5jzv6ou9z,P1,9826256583,7,30,1,16
68,VCTM5,eifxhk7njzv6ou9z,P1,5753584019,12,30,1,16
69,VCTM5,ex3ibw3ejzv6ou9z,P1,4609495823,30,30,1,16
70,VCTM5,vbm32tyejzv6ou9z,P1,4190989736,8,30,1,16
71,VCTM5,pfiyntxgjzv6ou9z,P1,7687077683,8,30,1,16
72,VCTM5,8qkfkjqbjzv6ou9z,P1,4037847170,7,30,1,16
73,VCTM5,ixpkd1ayjzv6ou9z,P1,9767384409,11,30,1,16
74,VCTM5,h4jopx3tjzv6ou9z,P1,7292309250,8,30,1,16
75,VCTM5,nk2p4rwajzv6ou9z,P1,9357092451,10,30,1,16
76,VCTM5,17xtly73jzv6ou9z,P1,1640232080,7,30,1,16
77,VCTM5,eotfau27jzv6ou9z,P1,6118225115,10,30,1,16
